det_idx,class_id,class_name,class_name_original,confidence,x1_px,y1_px,x2_px,y2_px,x_center_px,y_center_px,width_px,height_px,x_center_norm,y_center_norm,width_norm,height_norm
0,4,MISSING,MISSING,0.912221,50.13,590.44,361.22,742.09,205.68,666.27,311.08,151.65,0.151790,0.860810,0.229583,0.195927
1,0,C,C,0.900551,648.92,580.10,769.93,704.98,709.43,642.54,121.00,124.88,0.523562,0.830157,0.089302,0.161340
2,3,LED,LED,0.891639,550.20,0.00,661.05,107.00,605.63,53.50,110.85,107.00,0.446956,0.069123,0.081811,0.138245
3,3,LED,LED,0.880754,279.36,0.00,396.30,108.24,337.83,54.12,116.94,108.24,0.249320,0.069923,0.086300,0.139846
4,3,LED,LED,0.863220,694.70,0.00,798.04,104.07,746.37,52.03,103.34,104.07,0.550827,0.067227,0.076267,0.134454
5,4,MISSING,MISSING,0.854447,837.95,407.19,1236.77,571.93,1037.36,489.56,398.83,164.74,0.765580,0.632504,0.294336,0.212836
6,4,MISSING,MISSING,0.842019,421.84,0.00,531.44,112.31,476.64,56.15,109.60,112.31,0.351763,0.072551,0.080884,0.145103
7,0,C,C,0.826310,245.64,370.18,324.74,562.37,285.19,466.27,79.11,192.19,0.210471,0.602418,0.058380,0.248306
8,4,MISSING,MISSING,0.822138,1181.37,596.52,1299.66,707.10,1240.51,651.81,118.29,110.58,0.915509,0.842137,0.087296,0.142867
9,4,MISSING,MISSING,0.819828,153.82,0.00,266.46,111.90,210.14,55.95,112.64,111.90,0.155084,0.072287,0.083127,0.144574
10,4,MISSING,MISSING,0.818714,1086.32,0.00,1198.73,106.77,1142.52,53.39,112.41,106.77,0.843191,0.068974,0.082956,0.137949
11,4,MISSING,MISSING,0.818619,953.51,0.00,1062.23,108.20,1007.87,54.10,108.72,108.20,0.743817,0.069898,0.080237,0.139796
12,3,LED,LED,0.812829,827.50,0.00,928.51,102.95,878.00,51.47,101.01,102.95,0.647972,0.066504,0.074547,0.133007
13,5,R,R,0.809370,829.37,137.80,894.08,295.00,861.72,216.40,64.71,157.19,0.635957,0.279586,0.047757,0.203092
14,4,MISSING,MISSING,0.802467,17.11,0.00,133.12,110.79,75.12,55.40,116.00,110.79,0.055436,0.071572,0.085611,0.143144
15,3,LED,LED,0.777589,10.07,154.98,173.96,300.08,92.01,227.53,163.89,145.10,0.067906,0.293964,0.120952,0.187467
16,4,MISSING,MISSING,0.762452,1219.64,0.00,1328.17,104.94,1273.91,52.47,108.53,104.94,0.940152,0.067788,0.080094,0.135577
17,4,MISSING,MISSING,0.732980,583.42,144.15,638.57,298.41,611.00,221.28,55.15,154.26,0.450919,0.285893,0.040702,0.199305
18,4,MISSING,MISSING,0.726483,311.96,139.95,375.20,301.02,343.58,220.48,63.24,161.07,0.253561,0.284861,0.046671,0.208105
19,4,MISSING,MISSING,0.704636,451.27,143.24,508.39,296.76,479.83,220.00,57.11,153.52,0.354119,0.284237,0.042151,0.198344
20,4,MISSING,MISSING,0.700806,718.41,144.36,776.16,297.28,747.28,220.82,57.74,152.92,0.551501,0.285300,0.042614,0.197567
21,4,MISSING,MISSING,0.691330,1247.32,140.52,1300.88,291.07,1274.10,215.80,53.55,150.55,0.940294,0.278806,0.039523,0.194504
22,4,MISSING,MISSING,0.683195,185.93,145.47,238.98,299.36,212.46,222.42,53.05,153.89,0.156796,0.287363,0.039153,0.198825
23,5,R,R,0.672523,444.56,629.05,611.92,697.18,528.24,663.11,167.35,68.12,0.389844,0.856736,0.123509,0.088016
24,5,R,R,0.657213,953.81,628.81,1128.21,698.80,1041.01,663.80,174.39,69.99,0.768273,0.857627,0.128704,0.090423
25,4,MISSING,MISSING,0.656250,1113.39,138.15,1168.75,295.63,1141.07,216.89,55.36,157.48,0.842118,0.280224,0.040855,0.203464
26,4,MISSING,MISSING,0.603300,974.20,137.74,1038.20,298.13,1006.20,217.93,64.00,160.39,0.742582,0.281569,0.047230,0.207216
