status,ref_idx,det_idx,class_id_ref,class_name_ref,class_id_det,class_name_det,class_name_det_original,confidence,iou,center_distance,center_distance_relaxed,width_ratio,height_ratio,area_ratio,ref_coverage,det_coverage,ok_iou,ok_center,ok_center_relaxed,ok_width,ok_height,ok_ref_coverage,ok_det_coverage,ok_ref_coverage_relaxed,ok_det_coverage_relaxed,size_warning,ok_strict,ok_relaxed,candidate_valid,candidate_center_gate,candidate_iou_gate,candidate_ref_cov_gate,candidate_det_cov_gate,candidate_gate_reasons,fail_reasons,ref_xc,ref_yc,ref_w,ref_h,det_xc,det_yc,det_w,det_h
MISSING,0,,3,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.056492,0.069376,0.079258,0.126944,,,,
MISSING,1,,3,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.157039,0.070852,0.077991,0.123992,,,,
OK,2,3,3,LED,3,LED,LED,0.880754,0.723187,0.005444,0.060000,1.135250,1.212497,1.376487,0.997364,0.724572,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,,0.254662,0.070977,0.076018,0.115337,0.249320,0.069923,0.086300,0.139846
MISSING,3,,3,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.349684,0.073195,0.073484,0.124209,,,,
OK,4,2,3,LED,3,LED,LED,0.891639,0.853435,0.004090,0.060000,1.041486,1.093476,1.138839,0.984853,0.864786,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,,0.449775,0.072086,0.078552,0.126427,0.446956,0.069123,0.081811,0.138245
OK,5,4,3,LED,3,LED,LED,0.863220,0.876692,0.006177,0.060000,0.986824,1.082483,1.068220,0.966164,0.904461,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,,0.549233,0.073195,0.077285,0.124209,0.550827,0.067227,0.076267,0.134454
OK,6,12,3,LED,3,LED,LED,0.812829,0.788494,0.008931,0.060000,1.050688,1.090303,1.145568,0.945918,0.825719,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,,0.643622,0.074304,0.070950,0.121991,0.647972,0.066504,0.074547,0.133007
MISSING,7,,3,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.742171,0.079849,0.069683,0.124209,,,,
MISSING,8,,3,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.839728,0.077631,0.074751,0.119773,,,,
MISSING,9,,3,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.933484,0.074304,0.074751,0.117555,,,,
MISSING,10,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.057014,0.288343,0.038009,0.195186,,,,
MISSING,11,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.156471,0.292779,0.031674,0.204058,,,,
MISSING,12,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.253395,0.290561,0.030407,0.199622,,,,
MISSING,13,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.352852,0.289452,0.031674,0.206276,,,,
MISSING,14,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.450409,0.296106,0.031674,0.201840,,,,
MISSING,15,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.551133,0.298324,0.030407,0.197404,,,,
OK,16,13,5,R,5,R,R,0.809370,0.584172,0.016019,0.060000,1.507739,0.995266,1.500602,0.922110,0.614494,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,size_warning,0.631586,0.294997,0.031674,0.204058,0.635957,0.279586,0.047757,0.203092
MISSING,17,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.742171,0.292779,0.029140,0.204058,,,,
MISSING,18,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.839094,0.297215,0.035475,0.204058,,,,
MISSING,19,,5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.936018,0.298324,0.029140,0.201840,,,,
MISSING,20,,6,RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_detection_same_class,0.152037,0.881336,0.217919,0.201840,,,,
MISSING,21,,1,IC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_detection_same_class,0.385793,0.652880,0.158372,0.215148,,,,
MISSING,22,,2,IC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_detection_same_class,0.763710,0.653989,0.282535,0.217366,,,,
OK,23,7,0,C,0,C,C,0.826310,0.496111,0.023871,0.060000,0.575980,1.046258,0.602624,0.531431,0.881861,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,,size_warning,0.211584,0.626264,0.101358,0.237328,0.210471,0.602418,0.058380,0.248306
OK,24,1,0,C,0,C,C,0.900551,0.589352,0.034557,0.060000,1.067943,1.173231,1.252944,0.835420,0.666766,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,,,0.524527,0.864701,0.083620,0.137517,0.523562,0.830157,0.089302,0.161340
MISSING,25,,0,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_candidate_same_class,0.913846,0.863592,0.083620,0.148607,,,,
OK,26,24,5,R,5,R,R,0.657213,0.304150,0.041454,0.060000,1.104176,1.235376,1.364073,0.551342,0.404188,True,False,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,,,0.768144,0.899080,0.116561,0.073195,0.768273,0.857627,0.128704,0.090423
OK,27,23,5,R,5,R,R,0.672523,0.442167,0.032425,0.060000,0.937342,0.992053,0.929893,0.591703,0.636313,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,,,0.391853,0.889099,0.131765,0.088721,0.389844,0.856736,0.123509,0.088016
EXTRA,,0,,,4,MISSING,MISSING,0.912221,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.151790,0.860810,0.229583,0.195927
EXTRA,,5,,,4,MISSING,MISSING,0.854447,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.765580,0.632504,0.294336,0.212836
EXTRA,,6,,,4,MISSING,MISSING,0.842019,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.351763,0.072551,0.080884,0.145103
EXTRA,,8,,,4,MISSING,MISSING,0.822138,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.915509,0.842137,0.087296,0.142867
EXTRA,,9,,,4,MISSING,MISSING,0.819828,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.155084,0.072287,0.083127,0.144574
EXTRA,,10,,,4,MISSING,MISSING,0.818714,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.843191,0.068974,0.082956,0.137949
EXTRA,,11,,,4,MISSING,MISSING,0.818619,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.743817,0.069898,0.080237,0.139796
EXTRA,,14,,,4,MISSING,MISSING,0.802467,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.055436,0.071572,0.085611,0.143144
EXTRA,,15,,,3,LED,LED,0.777589,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.067906,0.293964,0.120952,0.187467
EXTRA,,16,,,4,MISSING,MISSING,0.762452,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.940152,0.067788,0.080094,0.135577
EXTRA,,17,,,4,MISSING,MISSING,0.732980,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.450919,0.285893,0.040702,0.199305
EXTRA,,18,,,4,MISSING,MISSING,0.726483,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.253561,0.284861,0.046671,0.208105
EXTRA,,19,,,4,MISSING,MISSING,0.704636,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.354119,0.284237,0.042151,0.198344
EXTRA,,20,,,4,MISSING,MISSING,0.700806,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.551501,0.285300,0.042614,0.197567
EXTRA,,21,,,4,MISSING,MISSING,0.691330,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.940294,0.278806,0.039523,0.194504
EXTRA,,22,,,4,MISSING,MISSING,0.683195,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.156796,0.287363,0.039153,0.198825
EXTRA,,25,,,4,MISSING,MISSING,0.656250,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.842118,0.280224,0.040855,0.203464
EXTRA,,26,,,4,MISSING,MISSING,0.603300,,,,,,,,,,,,,,,,,,,,,,,,,,,extra_detection,,,,,0.742582,0.281569,0.047230,0.207216
